strategy,accuracy,macro_f1
baseline,0.7757575757575758,0.7381484117530025
class_weight_balanced,0.7727272727272727,0.7664277046086635
is_unbalance,0.7757575757575758,0.7381484117530025
smote,0.7878787878787878,0.7788177989288817
