model,n_runs,acc_mean,acc_std,acc_ci95,f1_mean,f1_std,f1_ci95
Hybrid (Ours),5,0.7806060606060605,0.009241182231501163,0.011474443277695315,0.7408606411558928,0.014634487836770578,0.01817111667906891
Transformer-only,5,0.6509090909090909,0.02103824843358759,0.026122435665252443,0.6244783691179865,0.018034498018892117,0.022392786915735447
LightGBM-only,5,0.6684848484848486,0.008187427930973518,0.01016603449977775,0.6138106804016725,0.03266463908203255,0.040558506362479464
