seed,hybrid_acc,hybrid_macro_f1,trans_acc,trans_macro_f1,lgb_acc,lgb_macro_f1
0,0.7878787878787878,0.7555366085652115,0.6818181818181818,0.6419073556728421,0.6545454545454545,0.5737850143008075
1,0.7727272727272727,0.745852129242868,0.6363636363636364,0.6312334256382135,0.6696969696969697,0.6483926737809063
2,0.7696969696969697,0.7218688618342595,0.6272727272727273,0.593972351374943,0.6757575757575758,0.5893124439074947
3,0.7818181818181819,0.7518245288949225,0.6515151515151515,0.6283362473554954,0.6727272727272727,0.6432992763033608
4,0.7909090909090909,0.7292210772422026,0.6575757575757576,0.6269424655484385,0.6696969696969697,0.6142639937157934
