perturbation,level,accuracy,macro_f1
clean,0.0,0.806060606060606,0.774035250152001
gaussian_noise,0.01,0.7878787878787878,0.7337062430761644
gaussian_noise,0.05,0.7727272727272727,0.7223497536688289
gaussian_noise,0.1,0.7787878787878788,0.7099693871600167
gaussian_noise,0.2,0.7636363636363637,0.6935799119514396
point_drop,0.05,0.6121212121212121,0.5471935855524169
point_drop,0.1,0.4696969696969697,0.4238123604400857
point_drop,0.2,0.3090909090909091,0.2850471037919637
point_drop,0.3,0.20303030303030303,0.15821391081994424
